Municipality code,Municipality,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Population2019,TotalCases
76001,Cali,159,1147,6335,11708,1450,2050,17539,5855,14523,19414,3710,1735,3890,2241491,89515
5001,Medellín,5,902,413,15570,802,713,2342,3161,3785,17306,2100,1172,1276,2483545,49547
68001,Bucaramanga,5223,2018,3449,7831,774,1470,4843,5021,2594,2097,372,601,2525,595635,38818
54001,Cúcuta,2946,2816,3105,5101,1698,2628,5123,5015,2071,995,416,2687,3569,749197,38170
73001,Ibagué,1047,563,1828,6508,944,2354,5617,3101,5221,2230,606,600,5130,536087,35749
50001,Villavicencio,1689,310,1711,3514,1724,2949,5285,4046,2088,1320,556,2276,8258,538824,35726
41001,Neiva,1542,1561,2248,2327,673,3128,2445,3564,1850,1294,532,567,5459,361049,27190
8001,Barranquilla,2396,2666,1416,2748,689,946,4131,2678,1403,640,684,1679,1855,1243056,23931
68276,Floridablanca,2176,897,2236,4626,359,599,2755,3061,1276,1371,395,348,1300,300730,21399
70001,Sincelejo,548,490,582,756,743,1271,2309,3048,1392,442,235,365,3693,286635,15874
20001,Valledupar,678,520,492,1885,426,1868,2050,806,1949,509,186,507,2817,513685,14693
63001,Armenia,641,378,278,5260,389,175,1082,1463,1772,1352,293,233,175,300194,13491
85001,Yopal,698,966,1756,1104,505,913,1558,930,926,339,209,466,2291,173610,12661
66001,Pereira,448,198,357,7787,403,123,267,455,639,1272,65,58,180,472406,12252
68307,Girón,808,483,1003,1926,236,356,1804,1305,727,462,160,178,654,166843,10102
13001,Cartagena de Indias,372,868,245,1280,325,211,2293,918,348,128,56,554,1922,1003685,9520
68547,Piedecuesta,846,382,1039,1561,122,390,1153,1099,604,361,182,263,949,177586,8951
76520,Palmira,167,327,2060,1232,246,144,692,848,750,1337,186,105,635,352016,8729
50006,Acacías,571,354,311,744,357,837,891,1116,742,297,148,628,1574,90124,8570
23001,Montería,145,230,52,127,364,395,625,1612,630,353,312,1567,1852,498858,8264
5360,Itagüí,0,80,53,3489,106,98,742,302,251,2857,120,54,56,283794,8208
47001,Santa Marta,903,321,410,1055,241,291,1748,755,270,117,55,947,695,521239,7808
73268,Espinal,61,141,192,642,296,562,1032,1333,705,230,280,421,1822,70769,7717
8758,Soledad,390,819,467,504,220,287,1375,1091,580,305,324,675,611,638065,7648
68081,Barrancabermeja,552,98,220,851,141,793,2086,1116,544,216,107,148,768,207494,7640
25307,Girardot,81,280,262,945,262,575,1138,744,420,277,325,483,679,105379,6471
5088,Bello,2,152,93,1362,151,140,456,640,605,1749,204,89,88,538527,5731
54874,Villa del Rosario,249,179,423,697,223,290,944,622,324,142,147,799,392,107288,5431
54405,Los Patios,286,380,422,845,236,434,588,775,208,133,82,453,434,93754,5276
66170,Dosquebradas,202,58,104,3044,91,27,50,105,280,918,42,23,59,220771,5003
85010,Aguazul,407,148,566,469,161,502,676,217,222,188,107,230,814,37513,4707
41551,Pitalito,251,83,250,1750,92,267,239,313,328,304,103,60,624,126682,4664
76834,Tuluá,33,110,432,740,148,125,325,282,875,810,159,38,537,215978,4614
